en,fa
Don't underestimate the power of water!,قدرت آب را دست کم نگیرید!
The Sea and the Sky,دریا و آسمان
Can you take this?,میتونی اینو بگیری
"The deeper I go, the stronger I become.",هر چه عمیق تر می شوم، قوی تر می شوم.
I'll make sure you can't breathe!,من مطمئن خواهم شد که شما نمی توانید نفس بکشید!
The deep sea is not friendly to living creatures. Especially to you humans.,اعماق دریا با موجودات زنده دوستی ندارد. مخصوصا برای شما انسانها
I'll take you into the deep sea!,من تو را به دریای عمیق خواهم برد!
Sink into the deep sea!,غرق شدن در اعماق دریا!
Deep-sea Torrent,تورنت در اعماق دریا
Deep-sea Energy,انرژی در اعماق دریا
The deep-sea energy is strengthening me.,انرژی اعماق دریا مرا تقویت می کند.
I need more deep-sea energy.,من به انرژی بیشتری در اعماق دریا نیاز دارم.
I'm filled with deep-sea energy.,من پر از انرژی اعماق دریا هستم.
Deep-sea Punishment,مجازات در اعماق دریا
The power of the deep sea!,قدرت اعماق دریا!
You mustn't fall here.,تو نباید اینجا بیفتی
I'll be your strength.,من قدرت شما خواهم بود
I want this world to be full of peace and love.,می خواهم این دنیا پر از صلح و عشق باشد.
Monthly Diamond Pack,بسته الماس ماهانه
Monthly Pack (July),بسته ماهانه (تیر)
Monthly Pack (June),بسته ماهانه (خرداد)
"You must have a death wish, setting foot in the deep sea.",باید آرزوی مرگ داشته باشی که پا در اعماق دریا بگذاری.
"With this, you'll grow stronger.",با این، شما قوی تر خواهید شد.
This is the power that rules the deep sea!,این قدرتی است که بر اعماق دریا حکومت می کند!
You're lucky to have met me here.,تو خوش شانسی که اینجا با من آشنا شدی
"Now, I'm not afraid of any enemy.",حالا من از هیچ دشمنی نمی ترسم.
Drown!,غرق شو!
Daily Free,روزانه رایگان
Daily Gift,هدیه روزانه
Periodically attacks the enemy with the lowest HP.\nThis attack is delivered at {1}% higher ATK.\nThis skill is activated when a battle starts.,به صورت دوره‌ای با کمترین HP به دشمن حمله می‌کند.\nاین حمله با {1}٪ ATK بالاتر انجام می‌شود.\nاین مهارت با شروع نبرد فعال می‌شود.
"Instantly activates the [Deep-sea Punishment] skill when an enemy dies,\nwith a {1}% chance of increasing its ATK for {2} sec.",هنگامی که دشمن می میرد، فوراً مهارت [مجازات در اعماق دریا] را فعال می کند،\nبا احتمال {1}٪ افزایش ATK آن برای {2} ثانیه.
Legendary Enhancement Pack,بسته ارتقاء افسانه ای
Legendary Skill Pack,بسته مهارت افسانه ای
Legendary Mastery Pack,بسته استادی افسانه ای
I can't stay out of water for too long.,من نمی توانم برای مدت طولانی بیرون از آب بمانم.
It seems you have healing power as well.,به نظر می رسد شما نیز قدرت شفابخشی دارید.
Bargain Pack,بسته معامله
Portunus,پورتونوس
Portunus (Water),پورتونوس (اب)
Portunus (Water) Relationship Point,نقطه ارتباط پورتونوس (اب).
Rune Draw Chest\nEvent,Rune Draw Chest\nرویداد
Month {1} Bonus,پاداش ماه {1}
Pre Register NOW!,پیش ثبت نام کن!
100 times,100 بار
50 times,50 بار
60 times,60 بار
\n\nGo to the Shop?,\n\nبه فروشگاه بروید؟
n Custom Package,n بسته سفارشی
"{1} more points, and you can get the next Tier reward!",{1} امتیاز بیشتر، و می‌توانید جایزه ردیف بعدی را دریافت کنید!
"Inflicts damage for every {1} attacks.\nInflicts more damage, depending on ATK Speed.\nAlso, inflicts {2}% more damage per DoT effect cast on targets. (Up to +{3}%)",به ازای هر {1} حمله آسیب وارد می‌کند.\nبسته به سرعت ATK، آسیب بیشتری وارد می‌کند.\nهمچنین، به ازای هر اثر DoT که به اهداف ارسال می‌شود، {2} درصد آسیب بیشتری وارد می‌کند. (تا + {3}%)
Total ranking based on your latest Colosseum and Ancient Tower rankings.,رتبه بندی کل بر اساس آخرین رتبه بندی کولوسئوم و برج باستانی شما.
"Swings a giant scythe at enemies, with a {1}% chance of casting 3 DoT effects on each target for {2} sec.\nInflicts more damage, depending on ATK Speed.",داس غول‌پیکر را به سمت دشمنان می‌چرخاند، با احتمال {1}٪ برای ایجاد 3 جلوه نقطه‌ای روی هر هدف برای {2} ثانیه.\nبسته به سرعت ATK، آسیب بیشتری وارد می‌کند.
Let me release you from restraint and restore your soul's freedom.,بگذار تو را از بند رها کنم و آزادی روحت را باز گردانم.
Don't expect salvation.,انتظار رستگاری نداشته باش
I've got some residue left behind a weak soul.,من مقداری باقی مانده از روح ضعیفی دارم.
No one's free from Death.,هیچکس از مرگ آزاد نیست
Diamond Random Box,جعبه تصادفی الماس
"Diamond\nx2,000",الماس\nx2000
"Diamond\nx4,000",الماس\nx4000
"Diamond\nx8,000",الماس\nx8000
Dragon Village X\\nGrand Opening!,Dragon Village X\\n افتتاحیه بزرگ!
Animala Release Event,رویداد انتشار حیوان
Bring everyone's soul to me.,روح همه را به من بیاور
I'll accept your insignificant soul.,روح ناچیز تو را می پذیرم
I'll release you from the shackles of life.,من تو را از قید زندگی رها خواهم کرد.
HP condition +1%,وضعیت HP + 1٪
HP condition +2%,وضعیت HP + 2٪
HP condition +3%,وضعیت HP + 3٪
HP condition +5%,وضعیت HP + 5٪
Inflicts lethal damage to targets with {1}% or lower HP. This skill inflicts irresistible damage and prevents resurrection. This effect only takes effect in the Colosseum.,به اهدافی با HP {1} درصد یا کمتر آسیب کشنده وارد می کند. این مهارت صدمات مقاومت ناپذیری را وارد می کند و از رستاخیز جلوگیری می کند. این اثر فقط در کولوسئوم اعمال می شود.
A reward issued based on your points at the time you tap the Accept button.,جایزه ای که بر اساس امتیازات شما در زمان ضربه زدن روی دکمه پذیرش صادر می شود.
Winning Count Reward: {1} times,پاداش تعداد برنده: {1} بار
Release Ghost,روح را آزاد کنید
You can't run away from the nightmares.,شما نمی توانید از کابوس ها فرار کنید.
Worship the Master of Nightmares.,استاد کابوس ها را پرستش کنید.
The nightmares are coming...,کابوس ها می آیند...
Animala,حیوان
Animala (Water),حیوان (اب)
Animala (Water) Relationship Point,نقطه ارتباط حیوان (اب).
Animala (Fire),حیوان (آتش)
Animala (Fire) Relationship Point,نقطه ارتباط حیوان (آتش).
Animala (Dark),حیوان (تاریک)
Animala (Dark) Relationship Point,نقطه رابطه حیوان (تاریک).
Suffer from the never-ending nightmares!,از کابوس های بی پایان رنج ببر!
Meet your doom in the never-ending nightmares.,عذاب خود را در کابوس های بی پایان ملاقات کنید.
The never-ending nightmares just have begun.,کابوس های بی پایان تازه شروع شده اند.
The never-ending nightmares and Death are one.,کابوس های بی پایان و مرگ یکی هستند.
Soul Cutter,برش روح
Soul Cutter+,برش روح +
Increases Soul Cutter damage by {1} times and creates a {2}% chance of removing 1 buff cast on targets.,آسیب Soul Cutter را تا {1} برابر افزایش می‌دهد و شانس {2}٪ برای حذف 1 گچ بر روی اهداف را ایجاد می‌کند.
My spiritual wings want you.,بال های معنوی من تو را می خواهند.
A fearsome dragon that can send everyone spiraling into a vortex of never-ending nightmares with a single flap of his spiritual wings.,یک اژدهای ترسناک که می تواند همه را با یک تکان دادن بال های روحانی خود به گردابی از کابوس های بی پایان بفرستد.
Nothing's more entertaining than watching souls fall.,هیچ چیز سرگرم کننده تر از تماشای سقوط روح نیست.
Begone!,شروع شد!
Daily Reward,پاداش روزانه
Daily Available Rewards,جوایز روزانه در دسترس
Legendary Enhancement Point\nx400,نقطه بهبود افسانه ای\nx400
Legendary Skill Slime\nx2,اسلایم مهارت افسانه ای\nx2
Legendary Skill Slime\nx4,اسلایم مهارت افسانه ای\nx4
Repay me with your life.,با جانت جبران کن
Death doesn't wait for you.,مرگ در انتظار تو نیست
Receive Death!,مرگ را دریافت کن!
Death's gift for you.,هدیه مرگ برای تو
Deathly Guide,راهنمای مرگ
Death is approaching you.,مرگ به تو نزدیک می شود
Get ready.,آماده شدن.
View Equipped Runes,مشاهده رونزهای مجهز
Participation Count Reward: {1} times,پاداش تعداد مشارکت: {1} بار
Eternal Egg\nx1,تخم مرغ ابدی \nx1
Colosseum Participation Event,رویداد مشارکت کولوسئوم
Colosseum Victory Event,رویداد پیروزی کولوسئوم
Increases allies' ATK Speed by {1}% in the Colosseum.,سرعت ATK متحدان را تا {1} درصد در کولوسئوم افزایش می‌دهد.
Please play at least one game in the Colosseum first.,لطفاً ابتدا حداقل یک بازی در کولوسئوم انجام دهید.
Pathetic souls...,روح های رقت انگیز...
Hope is no more.,امید دیگر نیست.
Colosseum Update\nEvent,به‌روزرسانی کولوسئوم \nرویداد
Winning Points x100,امتیاز برنده x100
Remaining Free Count:,تعداد رایگان باقی مانده:
Join the Colosseum and get loads of rewards!,به کولوسئوم بپیوندید و جوایز زیادی دریافت کنید!
Digest Soul,هضم روح
"Swings a giant scythe at enemies. Inflicts more damage, depending on ATK Speed.",داس غول پیکر را به سمت دشمنان می چرخاند. بسته به سرعت ATK آسیب بیشتری وارد می کند.
Increases Soul Cutter damage by 1.4 times.\nPrevents resurrection.,آسیب Soul Cutter را 1.4 برابر افزایش می دهد.\nاز رستاخیز جلوگیری می کند.
"Attacking creates a {1}% chance of attacking the enemy with the lowest HP, inflicting {2}% of its HP.\nThis skill ignores Invulnerability and prevents resurrection.\nCan only be used in the Colosseum.",حمله، شانس {1}٪ برای حمله به دشمن با کمترین HP را ایجاد می کند، و باعث ایجاد {2}٪ از HP آن می شود.\nاین مهارت آسیب ناپذیری را نادیده می گیرد و از رستاخیز جلوگیری می کند.\nفقط در کولوسئوم قابل استفاده است.
"Attacking creates a {1}% chance of attacking the enemy with the lowest HP, inflicting {2}% of its HP, and increasing the caster's ATK for {3} sec.",حمله، شانس {1}% حمله به دشمن با کمترین HP، ایجاد {2}% HP آن، و افزایش ATK کاستور را برای {3} ثانیه ایجاد می‌کند.
"Attacking creates a {1}% chance of inflicting DEF-ignoring damage on the enemy with the lowest HP. Inflicts more damage, depending on ATK Speed.\nPrevents resurrection.\nCan only be used in the Colosseum.",حمله احتمال {1} درصد ایجاد آسیب نادیده گرفتن DEF به دشمن با کمترین HP را ایجاد می کند. بسته به سرعت ATK آسیب بیشتری وارد می‌کند.\nاز رستاخیز جلوگیری می‌کند.\nفقط در کولوسئوم قابل استفاده است.
Attacking creates a {1}% chance of targeting random enemies. This skill's damage increases by {2}% every time it's cast and ignores DEF. (Up to {3}%)\nCan only be used in the Colosseum.,حمله احتمال {1} درصد برای هدف قرار دادن دشمنان تصادفی ایجاد می کند. آسیب این مهارت هر بار که بازیگر می‌شود {2} درصد افزایش می‌یابد و DEF را نادیده می‌گیرد. (حداکثر {3}%)\nفقط در کولوسئوم قابل استفاده است.
"Inflicts damage for every {1} attacks.\nInflicts more damage, depending on ATK Speed.\nAlso, inflicts x{2} damage to enemies under Recovery Decrease effect.",برای هر {1} حمله آسیب وارد می‌کند.\nبسته به سرعت ATK آسیب بیشتری وارد می‌کند.\nهمچنین، تحت تأثیر کاهش بازیابی به دشمنان x {2} آسیب وارد می‌کند.
"Inflicts damage for every {1} attacks.\nInflicts more damage, depending on ATK Speed.\nAlso, inflicts x{2} damage to DEF decrease effect(s) enemies.",به ازای هر {1} حمله آسیب وارد می‌کند.\nبسته به سرعت ATK، آسیب بیشتری وارد می‌کند.\nهمچنین، به دشمنان (های) کاهش افکت DEF، x {2} آسیب وارد می‌کند.
"Inflicts damage for every {1} attacks.\nInflicts more damage, depending on ATK Speed.\nAlso, inflicts x{2} damage to silenced enemies.",به ازای هر {1} حمله آسیب وارد می‌کند.\nبسته به سرعت ATK آسیب بیشتری وارد می‌کند.\nهمچنین، x {2} آسیب به دشمنان خاموش‌شده وارد می‌کند.
Free renewal available,تمدید رایگان در دسترس است
"Hall of Fame assigns ranks based on the total score that the {@YELLOW}top 500 tamers of the last season{@DEFAULT} of Colosseum, and Ancient Tower earned.",تالار مشاهیر بر اساس مجموع امتیازی که {@YELLOW} 500 رام‌کننده برتر فصل گذشته{@DEFAULT} کولوسئوم و برج باستانی کسب کرده‌اند، رتبه‌بندی می‌کند.
Immune,مصون
"Removes Invulnerability cast on enemies with Immunity effects on each hit.\nAlso, inflicts {1} times the usual damage on Attack type enemies, and removes {2} buffs cast on targets.",آسیب‌ناپذیری بر روی دشمنان را با اثرات مصونیت در هر ضربه حذف می‌کند.\nهمچنین، {1} برابر آسیب معمول به دشمنان نوع Attack وارد می‌کند و {2} علاقه‌مندان را که روی اهداف قرار می‌گیرند حذف می‌کند.
Periodically attacks all enemies. Inflicts {1} times the usual damage on Sleeping enemies.,به صورت دوره ای به تمام دشمنان حمله می کند. {1} برابر آسیب معمول به دشمنان Sleeping آسیب وارد می کند.
"Every set duration, inflict damage to a random enemy.\nRemoves Invulnerability cast  on each hit and inflicts {1} times the usual damage on enemies with Immunity effects",در هر زمان تنظیم شده، به یک دشمن تصادفی آسیب وارد کنید.\nدر هر ضربه آسیب‌ناپذیری را حذف می‌کند و {1} برابر آسیب معمول به دشمنان با اثرات ایمنی وارد می‌کند.
Auto-converted into dragon EXP when summoned 10 times.,با 10 بار احضار، به طور خودکار به EXP اژدها تبدیل می شود.
"Conquer {@diff_hell}Hell 12-7{@default}, and you can get a {@item_name}Shiny Legendary egg{@default}!\nAre you ready to go on adventures with me?",{@diff_hell} Hell 12-7 {@default} را فتح کنید، و می‌توانید یک تخم‌مرغ افسانه‌ای براق {@item_name} {@default} دریافت کنید!\nآماده‌اید با من به ماجراجویی بروید؟
{@yellow}Deathlock{@default} Released,{@yellow} Deathlock {@default} منتشر شد
Our Very {@yellow}First{@default} Mythic Dragon,اولین {@default} اژدها اسطوره‌ای بسیار {@yellow} } ما
Summon a ★3 - 6 dragon.,احضار یک ★ 3 - 6 اژدها.
Summon a Rare - Mythic dragon.,احضار یک نادر - اسطوره ای.
Summon a Normal - Rare dragon.,احضار یک اژدهای طبیعی - نادر .
Laughable.,خنده دار
How dare you challenge me?,چطور جرات میکنی منو به چالش بکشی؟
Advanced Hatching x10,هچینگ پیشرفته x10
No one sees me and lives to tell about it.,هیچ کس مرا نمی بیند و زندگی می کند تا در مورد آن بگوید.
I'll destroy every creature before me.,من همه موجودات قبل از خودم را نابود خواهم کرد.
I bring death to all I see.,من مرگ را برای هر چه می بینم به ارمغان می آورد.
You're no match for me!,تو برای من قابل مقایسه نیستی!
Is this what you really wanted?,آیا این همان چیزی است که شما واقعاً می خواستید؟
A dragon that ruled the dimension in which he was sealed away after some incident. He returned through the dimensional gate that the Dimension Dragon opened as he traveled across dimensions. Not much else is known about this dragon from another dimension.,اژدهایی که بعد از حادثه ای بر ابعادی که در آن مهر و موم شده بود حکومت می کرد. او از دروازه ابعادی که اژدهای بعدی در حین عبور از ابعاد باز کرد، بازگشت. چیز دیگری در مورد این اژدها از بعد دیگر شناخته نشده است.
"Diamond x16,500 +16,500",الماس x16500 +16500
"Diamond x16,500",الماس x16500
"Diamonds x189,000 +189,000","الماس x189,000 + 189,000"
"Diamonds x189,000",الماس x189000
"Diamond x4,500 +4,500",الماس x4500 +4500
"Diamond x4,500",الماس x4500
"Diamonds x51,000 +51,000",الماس x51000 +51000
"Diamonds x51,000",الماس x51000
"Diamonds x7,950 +7,950",الماس x7950 +7950
"Diamonds x7,950",الماس x7950
"Diamond x88,500 +88,500",الماس x88500 +88500
"Diamond x88,500",الماس x88500
Death Throes,Death Throes
"Death Throes creates a {1}% chance of {2}-sec. Silence.\nThe higher his HP, the greater this skill's damage. (Up to {3}%)",Death Throes شانس {1}% {2} ثانیه را ایجاد می کند. سکوت.\nهرچه HP او بالاتر باشد، آسیب این مهارت بیشتر است. (تا {3}٪)
Death Throes inflicts up to {1} times the usual damage with a {2}% chance of {3}-sec. Silence if he has a barrier around himself.,Death Throes تا {1} برابر آسیب معمولی با احتمال {2}% {3} ثانیه وارد می‌کند. اگر حائلی دور خود دارد سکوت کن.
Death Throes+,Death Throes+
Deathlock,مرگ
Deathlock (Earth),Deathlock (زمین)
Deathlock (Earth) Relationship Point,نقطه ارتباط مرگ (زمین).
Deathlock (Water),Deathlock (اب)
Deathlock (Water) Relationship Point,Deathlock (اب) نقطه رابطه
Deathlock (Light),Deathlock (سبک)
Deathlock (Light) Relationship Point,Deathlock (سبک) نقطه رابطه
Seal Amulet,طلسم مهر
An amulet used to seal Deathlock's power.,حرز که برای مهر و موم کردن قدرت Deathlock استفاده می شود.
"This information displays how rare a dragon is.\nRarer dragons have stronger and better skills, as well as a higher initial Grade.\n\n- Normal: Get as Grade 1-2\n- {@BLUE}Rare{@DEFAULT}: Get as Grade 3\n- {@purple}Heroic{@DEFAULT}: Get as Grade 4\n- {@YELLOW}Legendary{@DEFAULT}: Get as Grade 5\n- {@RED}Mythical{@DEFAULT}: Acquired at Grade 6",این اطلاعات نشان می‌دهد که یک اژدها چقدر کمیاب است.\nاژدهای کمیاب‌تر مهارت‌های قوی‌تر و بهتر و همچنین درجه اولیه بالاتری دارند. \n \n- طبیعی: به عنوان درجه 1-2 \n- {@BLUE} نادر{@DEFAULT}: دریافت به عنوان درجه 3 \n- {@purple} قهرمانانه{@DEFAULT}: به عنوان درجه 4 \n- {@YELLOW} افسانه‌ای{@DEFAULT}: دریافت درجه 5 \n- {@RED} افسانه‌ای{@DEFAULT}: در کلاس 6 به دست آمد
Maloden Release Event,رویداد انتشار مالودن
"Log in every day\nand get {@mustard}60,000 Diamonds{@default}!",هر روز وارد سیستم شوید\nو {@mustard} 60000 الماس {@default} دریافت کنید!
I'll send you all to Hell!,من همه شما را به جهنم می فرستم!
You fools don't know Death is near.,ای احمق ها نمی دانید مرگ نزدیک است.
Step back.,به عقب برگرد
Such insignificant creatures.,چنین موجودات بی اهمیتی.
"You can't escape, no matter how hard you try.",شما نمی توانید فرار کنید، مهم نیست که چقدر تلاش کنید.
Shiny Legendary Egg,تخم مرغ افسانه ای براق
Seere,ببینید
Even the gods can't stop me!,حتی خدایان هم نمی توانند جلوی من را بگیرند!
Even the gods shall tremble with fear.,حتی خدایان نیز از ترس خواهند لرزید.
Mythic,اسطوره ای
"If an ally uses a Drag skill that costs 3 mana, randomly attacks an enemy.\nTargets one with a Flame Mark on it before others.\nThis attack is delivered at 100% higher ATK,\nand inflicts 2.5 times the usual damage on Flame-marked enemies.",اگر متحدی از مهارت Drag استفاده کند که هزینه آن 3 مانا است، به طور تصادفی به دشمن حمله می کند.\nیکی را با علامت شعله قبل از دیگران هدف قرار می دهد.\nاین حمله با ATK 100٪ بالاتر تحویل داده می شود،\nو 2.5 برابر آسیب معمول به Flame وارد می کند. دشمنان مشخص شده
How long are you going to stay in such a shabby place?,تا کی میخوای تو همچین جایی کهنه بمونی؟
I can sense the disgusting energy of the living.,من می توانم انرژی نفرت انگیز زندگی را حس کنم.
"Come, you lowly creatures!",بیایید ای موجودات پست!
Monthly Pack (August),بسته ماهانه (مرداد)
This world is too small for me!,این دنیا برای من خیلی کوچک است!
Periodically increases his ATK and casts a barrier by {2}% of ATK for {1} sec.,به صورت دوره‌ای ATK خود را افزایش می‌دهد و سدی را به میزان {2}% ATK برای {1} ثانیه ایجاد می‌کند.
Periodically attacks an enemy with low HP. This attack is delivered at {1}% higher ATK.,به صورت دوره ای به دشمنی با HP کم حمله می کند. این حمله با ATK {1}% بالاتر ارائه می‌شود.
"Periodically casts a barrier by 1,000% of his ATK on himself\nand the ally with the highest ATK for 10 sec.",به‌طور دوره‌ای 1000 درصد ATK خود را بر روی خود\nو متحدی که بالاترین ATK را دارد به مدت 10 ثانیه سد می‌کند.
Periodically casts 2 ATK Up effects on himself\nand the ally with the highest ATK for 12 sec.,به صورت دوره‌ای 2 افکت ATK Up روی خودش\nو متحدی که بالاترین ATK را دارد به مدت 12 ثانیه می‌فرستد.
Periodically increases his Critical DMG for {1} sec.,به صورت دوره ای DMG بحرانی خود را برای {1} ثانیه افزایش می دهد.
Auto-Farewell,خداحافظی خودکار
"Stop bothering me, gnats.",دست از اذیت کردن من بردار، گربه ها.
"Attacks enemies, leaving Flame Marks on them for 10 sec.",به دشمنان حمله می کند و علامت های شعله را به مدت 10 ثانیه روی آنها می گذارد.
Surrender to absolute power!,تسلیم قدرت مطلق!
Do you have a death wish?,آرزوی مرگ داری؟
Let's see if you can overcome Death!,بیایید ببینیم آیا می توانید بر مرگ غلبه کنید!
Attacks enemies in a straight line with the power that calls Death.\nThis attack is delivered at {1}% higher ATK.,به دشمنان در یک خط مستقیم با قدرتی که مرگ نامیده می شود حمله می کند.\nاین حمله با ATK {1} درصد بالاتر انجام می شود.
Deathly Gaze,نگاه مرگبار
Despair before the ruler of death!,یأس در برابر فرمانروای مرگ!
"Mwa hah hah! You're cute, little one.",موا هه هه! تو ناز هستی کوچولو
I see the greed in your eyes!,من طمع را در چشمان تو می بینم!
Ruler's Authority,اقتدار حاکم
Resistance is futile.,مقاومت بی فایده است.
Auto-Farewell Rare Dragon,نادر اژدها خودکار
More efficient Diamond products!,محصولات الماس کارآمدتر!
{@mustard}5 times{@default} more efficient Diamond products!,{@mustard} 5 برابر {@default} محصولات الماس کارآمدتر!
Rate-up Advanced Summon creates a 50% chance of summoning your selected dragons as Legendary dragons.\nThis doesn't affect the standard Legendary dragon drop rate. (Mythic: 0.1%. Legendary: 1%. Heroic: 9.25%. Rare: 89.65%.),Rate-up Advanced Summon 50% شانس برای احضار اژدهای انتخابی شما به عنوان اژدهای افسانه ای ایجاد می کند.\nاین روی نرخ استاندارد افت اژدهای افسانه ای تأثیری ندارد. (اسطوره ای: 0.1٪. افسانه ای: 1٪. قهرمانانه: 9.25٪. نادر: 89.65٪)
Mythic dragons can't be enhanced.,اژدهایان افسانه ای را نمی توان تقویت کرد.
Mythic dragons can't be Farewelled.,اژدهایان افسانه ای را نمی توان خداحافظی کرد.
First Purchase Bonus 1+1,پاداش خرید اول 1+1
★3 (Rare),★3 (نادر)
★4 (Heroic),★4 (قهرمانانه)
★5 (Legendary),★5 (افسانه ای)
★6 (Mythic),★6 (اسطوره)
Earth/Water/Fire,زمین/ اب/ آتش
Light/Dark,سبک یا تاریک و پررنگ
※ Use Advanced Summon x10 and Rate-up Advanced Summon x10 to get 1 ★4 (Heroic) or better dragon.,※ از Advanced Summon x10 و Rate-up Advanced Summon x10 برای به دست آوردن 1 ★ 4 (قهرمانانه) یا بهتر اژدها استفاده کنید.
"※ Topaz, Limited, and Event dragons excluded",※ توپاز، محدود، و اژدهای رویداد حذف شدند
※ All the Mythic dragon elements have the same drop rate.,※ همه عناصر اژدهای افسانه ای نرخ افت یکسانی دارند.
Mythic Dragon,اژدها اسطوره ای
Mythic Dragon Release Event,رویداد انتشار اسطوره اژدها
Efficiency boosted!,بهره وری افزایش یافته است!
Obtained from Advanced Summon,به دست آمده از Advanced Summon
<Summon Rate>,<Summon Rate>
<Attribute Rate>,<Attribute Rate>
Advanced Summon\nRate-up Advanced Summon,Advanced Summon\nRate-up Advanced Summon
"Dragon Rarity is divided into four types: Normal, Rare, Heroic, Legendary, and Mythic.\nDragons with a higher Rarity level have better stats and skills.",اژدها نادر بودن به چهار نوع تقسیم می‌شود: طبیعی، نادر، قهرمانانه، افسانه‌ای، و افسانه‌ای.\nاژدها با سطح نادر بودن بالاتر، آمار و مهارت‌های بهتری دارند.
Shiny Legendary Egg\nx1,تخم مرغ افسانه ای براق \nx1
Can't choose.,نمی تواند انتخاب کند.
낮/밤 교체,낮/밤 교체
스킬아이디를 세미콜론으로 구분하여 쭈우욱 입력하시오.,스킬아이디를 세미콜론으로 구분하여 쭈우욱 입력하시오.
시준효과 설정,시준효과 설정
7등급 룬 테스트,7등급 룬 테스트
7등급 룬 테스트 1개를 무작위로 획득합니다.,7등급 룬 테스트 1개를 무작위로 획득합니다.
7성룬 뽑기 테스트,7성룬 뽑기 테스트
커다란 폭탄(역방향),커다란 폭탄(역방향)
커다란 폭탄(정방향),커다란 폭탄(정방향)
터들톰톰 C의 알,터들톰톰 C의 알
(Clan EXP excluded),(Clan EXP مستثنی شده است)
Quickly sweep Adventure for 7 days!,به سرعت ماجرا را به مدت 7 روز جارو کنید!
7-day Adventure Sweep,رفت و برگشت ماجرا 7 روزه
7-day Sweep,جارو 7 روزه
"※ To use Sweep, you must clear this stage at 3 stars.",※ برای استفاده از Sweep، باید این مرحله را با ۳ ستاره پاک کنید.
※ Runes used for Sweep are auto-sold.,※ رون های مورد استفاده برای Sweep به صورت خودکار فروخته می شوند.
※ You can't get drop items through Sweep past the daily acquisition limit.,※ نمی‌توانید موارد را از طریق Sweep از حد مجاز دریافت روزانه خارج کنید.
Get ready!,آماده شدن!
"If you're already using Auto Pick-up, your use period will be retroactively applied to the Sweep period.",اگر قبلاً از «انتقال خودکار» استفاده می‌کنید، دوره استفاده شما به‌عنوان ماسبق به دوره جابجایی اعمال می‌شود.
There will be another chance.,فرصت دیگری وجود خواهد داشت.
I did my best to protect my birth star.,من تمام تلاشم را کردم تا از ستاره تولدم محافظت کنم.
This place is as beautiful as my birth star.,این مکان به زیبایی ستاره تولد من است.
Nidhogg... He'll experience the same despair that I have.,نیدهاگ... او همان ناامیدی را تجربه خواهد کرد که من دارم.
Watch for Nidhogg.,برای نیدهاگ تماشا کنید.
"An ancient space dragon that was once swallowed by Nidhogg along with its birth star. Fortunately, it came back alive with help from Kuzmara and has been looking for a chance to get revenge on Nidhogg ever since.",یک اژدهای فضایی باستانی که زمانی توسط نیدهاگ به همراه ستاره تولدش بلعیده شد. خوشبختانه با کمک کوزمارا زنده برگشت و از آن زمان به دنبال فرصتی برای انتقام گرفتن از نیدهاگ بوده است.
I'll burn you all!,من همه شما را می سوزانم!
You can skip fighting and immediately check the results in Adventure mode.,می توانید از مبارزه صرف نظر کنید و بلافاصله نتایج را در حالت ماجرا بررسی کنید.
I've collected the star energy.,من انرژی ستاره را جمع کرده ام.
On the day I was swallowed along with the star... I despaired.,روزی که با ستاره بلعیده شدم... ناامید شدم.
The star was my mother and my child.,ستاره مادر و فرزندم بود.
The star was my everything...,ستاره همه چیز من بود...
I will avenge that star...,من انتقام آن ستاره را خواهم گرفت...
Starry Wrath,خشم ستاره ای
I want to meet the guardian of the star.,من می خواهم با نگهبان ستاره ملاقات کنم.
Melt in the heat of the star!,ذوب شدن در گرمای ستاره!
I'll burn whatever life I have left for my revenge.,من برای انتقامم هر چه از عمرم باقی مانده می سوزانم.
"Revenge, burn!",انتقام، بسوز!
I'm biding my time to get revenge.,من وقتم را می گذارم تا انتقام بگیرم.
Top 75%,75% برتر
Cherish it.,آن را گرامی بدارید.
Sweep,جارو کردن
Sweep 7 Days,7 روز جارو کنید
{1} Sweep Results,{1} نتایج جستجو
Sweeps,جارو می کشد
Sweep is not activated.,Sweep فعال نیست.
Used for a Collection event,برای یک رویداد مجموعه استفاده می شود
Supernova,ابرنواختر
New Dragon Released,اژدها جدید منتشر شد
I'll destroy Nidhogg with the power of the abyss.,من نیدهاگ را با قدرت پرتگاه نابود خواهم کرد.
Increases allies' ATK by 48%.,ATK متحدان را تا 48 درصد افزایش می دهد.
This star is protected by countless guardians.,این ستاره توسط نگهبانان بی شماری محافظت می شود.
Does this star have its guardians?,آیا این ستاره نگهبانان خود را دارد؟
This is the last one!,این آخری هست!
This is for the star!,این برای ستاره است!
"Now, all of you Tamers can enjoy using Auto Pick-up.",اکنون، همه شما رام‌کنندگان می‌توانید از استفاده از برداشت خودکار لذت ببرید.
Daily Obtained Drop Items,اقلام قطره به دست آمده روزانه
Periodically attacks all enemies. This skill's damage increases by {1}% every time it's cast. (Up to 300%)\nInflicts {2} times the damage on Boss monsters. Activated at the beginning of a battle.,به صورت دوره ای به تمام دشمنان حمله می کند. آسیب این مهارت هر بار که بازیگر می‌شود {1} درصد افزایش می‌یابد. (تا 300%)\n {2} برابر بیشتر به هیولاهای Boss آسیب وارد می کند. در ابتدای نبرد فعال می شود.
Auto Pick-up Update,به روز رسانی دریافت خودکار
