zh-CN,zu
交换期： {1},Isikhathi Sokushintshana: {1}
交换期：还剩{1}天{1}小时,Isikhathi Sokushintshana: {1} Izinsuku {1} Amahora asele
兑换金额,Inani Lokushintshaniswa
代币商店已开放,Isitolo samathokheni sivuliwe
代币商店开放期间,Isikhathi Sokuvula Isitolo Samathokheni
可购买{1}/ {1},Ukuthenga Kuyatholakala {1}/ {1}
难度越高，可以获得的积分和奖励就越多。,"Uma uphakama izinga lobunzima, amaphuzu amaningi kanye nomvuzo ongawuthola."
我的排名： {1},Izinga lami: {1}
我的最好成绩： {1}分,Isikolo sami esihle kakhulu: {1} amaphuzu
伤害分数,Umonakalo Score
尝试龙并获得惊人的奖励。,Zama ama-dragons futhi uthole imiklomelo emangalisayo.
没有排名信息。,Alukho Ulwazi Lwezinga.
这是最后一个阶段。,Lesi yisigaba sokugcina.
可获得奖励,Umvuzo Uyatholakala
击败boss后可获得明确奖励！,Sula Umvuzo otholakalayo lapho unqoba umphathi!
交换物品？,Shintshanisa izinto?
您的总分必须达到7000分以上才能获得排名奖励。,"Amaphuzu akho aphelele kufanele okungenani abe ngamaphoyinti angu-7,000 ukuze uthole imiklomelo yezinga."
时间分数,Isikhathi Score
此阶段只有当敌人处于弱点状态时才能造成高伤害。\n最好使用对单个目标造成最高伤害的攻击技能。,"Kulesi sigaba, ungadala umonakalo omkhulu kuphela uma isitha sisesimweni esibuthakathaka.\nKungcono ukusebenzisa ikhono lokuhlasela elibhekana nomonakalo omkhulu kunawo wonke endaweni eyodwa."
活动期间,Isikhathi Somcimbi
活动已经结束。,Umcimbi uphelile.
活动正在进行中。,Umcimbi uyaqhubeka.
活动正在进行中。,Umcimbi uyaqhubeka.
当您达到幻象代币的每日限额时，战斗就会结束。,Impi iphela lapho ufinyelela umkhawulo wansuku zonke wama-Illusion Tokens.
您已达到代币的每日限额。,Ufinyelele umkhawulo wosuku Wamathokheni.
每设定一段时间，对前方的敌人造成伤害。 \n {1}% 几率降低目标的暴击闪避，持续{2}秒。,"Njalo ubude besikhathi esimisiwe, dala umonakalo esitheni esingaphambili. \n {1}% ithuba lokunciphisa Ukugwema Okubalulekile kwethagethi isekhondi elingu- {2} ."
每设定一段时间，对前方的敌人造成伤害。 \n {1}% 几率降低目标的闪避，持续{2}秒。,"Njalo ubude besikhathi esimisiwe, dala umonakalo esitheni esingaphambili. \n {1}% ithuba lokunciphisa ukugwema okuqondiwe kumasekhondi angu- {2} ."
每设定一段时间，对前方的敌人造成伤害。 \n {1}% 几率降低目标的恢复速度，持续{2}秒。,"Njalo ubude besikhathi esimisiwe, dala umonakalo esitheni esingaphambili. \n {1}% ithuba lokwehlisa izinga lokutakula lethagethi engu- {2} isekhondi."
每设定一段时间，对后方的敌人造成伤害。 \n {1}% 几率降低目标的 ACC，持续{2}秒。,"Njalo ubude besikhathi esimisiwe, bangela umonakalo esitheni esingemuva. \n {1}% ithuba lokunciphisa i-ACC yethagethi isekhondi elingu- {2} ."
每设定一段时间，对后方的敌人造成伤害。 \n {1}% 几率降低目标的暴击率，持续{2}秒。,"Njalo ubude besikhathi esimisiwe, bangela umonakalo esitheni esingemuva. \n {1}% ithuba lokunciphisa Izinga Elibalulekile lethagethi {2} isekhondi."
罪恶的幻象,Ukukhohlisa Kwezono
通过发射直线激光造成高额伤害，并有一定几率消除目标的所有有益效果。,Dala umonakalo omkhulu ngokudubula i-laser eqondile enethuba eligxilile lokususa yonke imiphumela enenzuzo kuthagethi.
体验龙贡献奖金,Ibhonasi Yeminikelo Ye Dragon Enolwazi
体验龙信息,Ulwazi lwe Dragon olunolwazi
幻象地下城代币商店,I-Illusion Dungeon Token Shop
吸收之书有 100% 的几率使目标昏迷 3 秒。\n此外，每个目标敌人的伤害都会增加{1}%。,"I-Book of Absorbing inethuba elingu-100% lokumangalisa ithagethi ngamasekhondi angu-3.\nFuthi, umonakalo ukhuphuka ngo- {1}% esitha ngasinye esiqondisiwe."
吸收之书有 100% 的几率使目标沉默 3 秒。\n此外，每个目标敌人的伤害都会增加{1}%。,"I-Book of Absorbing inethuba elingu-100% lokuthulisa ithagethi amasekhondi angu-3.\nFuthi, umonakalo ukhuphuka ngo- {1}% esitha ngasinye esiqondisiwe."
吸收之书会消除目标的 1 个有益效果。\n此外，每个目标敌人的伤害都会增加{1}%。,"I-Book of Absorbing isusa umphumela ongu-1 onenzuzo kusukela ekuqondisweni.\nFuthi, umonakalo ukhuphuka ngo- {1}% esitha ngasinye esiqondisiwe."
当您使用{@dark} 黑暗 安格拉 {@default}进行战斗时，您可以获得更多代币。,Ungazuza amathokheni engeziwe uma usebenzisa i -{@dark} I-Angra yakho Kumnyama {@default} empini.
当您的黑暗安格拉在战斗中战斗时，您可以获得更多代币。,Ungazuza amathokheni engeziwe lapho i Kumnyama I-Angra yakho ilwa empini.
您可以根据黑暗安格拉造成的伤害获得额外积分。,Ungathola amaphuzu engeziwe ngomonakalo owenziwe i Kumnyama I-Angra yakho.
您可以根据体验龙造成的伤害获得额外积分。,Ungathola amaphuzu engeziwe ngomonakalo owenziwe yi-Experiential Dragon yakho.
当您的体验龙在地下城中表现出色时，您可以获得额外积分。,Ungathola amaphuzu engeziwe lapho i-Experiential Dragon yakho yenza kahle emgodini.
您可以赚取积分并根据您的表现获得排名。,Ungazuza amaphuzu futhi ubekwe ezingeni ngokusekelwe ekudlaleni kwakho.
您每天最多可以获得{1}幻象令牌。,Ungazuza kufika ku- {1} Illusion Token(ama) ngosuku.
一旦达到每日限额，您将无法再赚取代币。,"Uma usufinyelele umkhawulo wansuku zonke, awukwazi ukuzuza Amathokheni engeziwe."
当达到每日代币限额时，战斗结束。,Impi iphela lapho umkhawulo weToken wansuku zonke usufinyelelwe.
当达到每日Token限额时，重复的战斗结束。,Impi ephindaphindiwe iphela lapho umkhawulo weToken wansuku zonke usufinyelelwe.
活动已经结束。,Umcimbi usuvele uphelile.
体验龙,Dragon Experiential
攻击 6 名敌人时，最终伤害增加 100%,Khulisa umonakalo wokugcina ngo-100% lapho uhlasela izitha eziyisi-6
每个敌人增加 10% 伤害,Khulisa Ukulimala ngo-10% esitha ngasinye
冷却时间 30 秒,Ukupholisa amasekhondi angu-30.
冷却时间 15 秒,Ukupholisa amasekhondi angu-15.
最好成绩： {1}分,Umphumela Ongcono Kakhulu: {1} amaphuzu
您可以在战斗中尝试\n体验龙。,Ungazama\nIdrako Yokuzizwela Dragon .
得分奖励,Ibhonasi yamaphuzu
代币奖金,Ibhonasi yethokheni
马尔戴克的拖曳技能现在对多个敌人使用时会造成更多伤害。,Ikhono lokuhudula likaMaldek manje lisebenza ngomonakalo omkhulu uma lisetshenziswa ngokumelene nezitha eziningi.
您可以在氏族地下城 - 突袭派对 2 中更积极地战斗。,Ungalwa kakhulu e-Clan Dungeon - Raid Party 2.
您的总分必须达到7000分以上才能获得排名奖励。,"Amaphuzu akho aphelele kufanele okungenani abe ngamaphoyinti angu-7,000 ukuze uthole imiklomelo yezinga."
难度越高，可以获得的积分和奖励就越多。 \n（击败boss即可获得明确奖励！）,"Uma uphakama izinga lobunzima, amaphuzu amaningi kanye nomvuzo ongawuthola. \n(Sula Umvuzo uyatholakala uma wehlula umphathi!)"
恐惧、愤怒、仇恨……这一切最终都通向黑暗的力量。,"Ukwesaba, ukucasuka, inzondo… Konke kuholela emandleni obumnyama ekugcineni."
胆战心惊！,Thuthumela ngokwesaba!
看看这个黑暗邪恶的灵魂。,"Bheka lomoya omubi, omubi."
你是第一个这样对待我的人。,Uyaqala ukungiphatha kanje.
你为什么不和我一起统治世界的黑暗面呢？,Kungani ungabusi uhlangothi olumnyama lomhlaba kanye nami?
我要让你见识一下我的魔力！,Ngizokukhombisa amandla ami omlingo!
你似乎拥有黑暗的天赋。,Ubonakala unesiphiwo sobumnyama.
我能从你身上感受到贪婪。,Ngiyawuzwa umhobholo.
感受你邪恶灵魂的真实本质。,Izwa ubunjalo bangempela bomoya wakho omubi.
黑暗世界,Umhlaba Wobumnyama
因其不可思议的魔力而被称为魔界之王的龙。他们说他通过随身携带的球来控制自己的力量。,Udrako owaziwa njengeNkosi Yomhlaba Omubi ngamandla akhe omlingo angaqondakali. Bathi uyawalawula amandla akhe esebenzisa ibhola aliphethe.
解锁魔力,Vula amandla omlingo
邪龙（土）,I-Evil Dragon (Umhlaba)
邪龙（土）关系点,I-Evil Dragon (Umhlaba) Iphuzu Lobudlelwano
邪龙（水）,I-Evil Dragon (Amanzi)
邪龙（水）关系点,I-Evil Dragon (Amanzi) Iphoyinti Lobudlelwano
邪龙（火）,I-Evil Dragon (Umlilo)
邪龙（火）关系点,I-Evil Dragon (Umlilo) Iphuzu Lobudlelwano
邪龙（黑暗）,I-Evil Dragon (Kumnyama)
邪龙（黑暗）关系点,I-Evil Dragon (Kumnyama) Iphoyinti Lobudlelwano
利用魔法阵的力量对敌人造成伤害。\n这次攻击会获得攻击力{1}% 的加成。,Yenza umonakalo ezitheni ngamandla ombuthano womlingo.\nLokhu kuhlasela kuthola {1}% ibhonasi ye-ATK yakho.
利用魔法阵的力量对敌人造成伤害。\n威力大幅提升，与暴击伤害成正比。,"Yenza umonakalo ezitheni ngamandla ombuthano womlingo.\nAmandla anda kakhulu, ngokulingana ne-DMG yakho Ebucayi."
通过这张抽奖券，您可以为玛尔黛获得土、水、火中的一种属性。,"Ngaleli Thikithi Lokudweba, uthola isibaluli esisodwa phakathi Umhlaba, Amanzi, kanye Umlilo Maldek."
玛尔黛抽奖券,Ithikithi le- Maldek Draw
玛尔黛精选门票,Ithikithi Lokukhetha Maldek
玛尔黛套餐,Iphakheji ye Maldek
我要用邪恶来腐蚀一切。,Ngizokonakalisa yonke into ngobubi.
每条路最终都会通向邪恶。,Yonke indlela iholela ebubini ekugcineni.
奖励奖金,Ibhonasi Yomvuzo
这个地方令我厌恶。,Iyanginyanyisa le ndawo.
我讨厌光！我需要黑暗！,Ngiyakuzonda ukukhanya! Ngidinga ubumnyama!
我要用邪恶来腐蚀世间的一切。,Ngizokonakalisa yonke into emhlabeni ngobubi.
所有盟友的暴击率提高{1}%。,Isilinganiso Esibalulekile Sawo wonke amadlelandawonye sikhuphuke ngo- {1}%.
星界,I-Astral Circle
星界+,I-Astral Circle+
星界之环造成的伤害乘以{1}。,Ukulimala kwe-Astral Circle kuphindaphindwa ngokuthi {1}.
星界对攻击型敌人造成 x {1}伤害，并\n从目标身上移除{2}有益效果。,"I-Astral Circle yenza x {1} umonakalo ezitheni zohlobo lwe-Attack, futhi\nsusa {2} imithelela enenzuzo kokuthile."
星界对攻击型敌人造成 x {1}伤害。,I-Astral Circle yenza x {1} umonakalo ezitheni zohlobo lwe-Attack.
星界对防御型敌人造成 x {1}伤害，并\n从目标身上移除{2}有益效果。,"I-Astral Circle yenza x {1} umonakalo ezitheni zohlobo lwezokuvikela, futhi\nsusa {2} imithelela enenzuzo kokuthile."
星界对防御型敌人造成 x {1}伤害。,I-Astral Circle yenza x {1} umonakalo ezitheni zohlobo lwezokuvikela.
我要让你见识一下邪恶的真正力量！,Ngizokukhombisa amandla eqiniso obubi!
我现在浑身充满了邪恶的力量。,Ngigcwele amandla amabi manje.
黑暗王国,Umbuso Wobumnyama
因其不可思议的魔力而被称为黑暗之王的龙。他们说他通过随身携带的球来控制自己的力量。,Udrako owaziwa njengeNkosi Yezwe Kumnyama ngamandla akhe omlingo angaqondakali. Bathi uyawalawula amandla akhe esebenzisa ibhola aliphethe.
我想用邪恶腐蚀这里的每个人。,Ngifuna ukonakalisa wonke umuntu lapha ngobubi.
欢迎来到黑暗世界。,Siyakwamukela ezweni lobumnyama.
这就是黑暗真正的力量！,Lawa amandla eqiniso obumnyama!
与邪龙的关系点可从关系地下城获得。获得的积分越多，您与邪龙的距离就越近。,Iphoyinti Lobudlelwano ne-Evil Dragon litholakala ku-Relationship Dungeon. Usondela ku-Evil Dragon njengoba uthola amaphuzu engeziwe.
每设定持续时间，对随机敌人造成伤害。 \n {1}% 几率击晕攻击型敌人，持续{2}秒。,"Njalo ubude besikhathi esimisiwe, dala umonakalo esitheni esingahleliwe. \n {1}% ithuba lokumangalisa izitha zohlobo lwe-Attack isekhondi elingu- {2} ."
每设定持续时间，对随机敌人造成伤害。 \n {1}% 几率使攻击型敌人沉默{2}秒。,"Njalo ubude besikhathi esimisiwe, dala umonakalo esitheni esingahleliwe. \n {1}% ithuba lokuthulisa izitha zohlobo lwe-Attack isekhondi elingu- {2} ."
每设定持续时间，对随机敌人造成伤害。 \n {1}% 几率击晕防御型敌人{2}秒。,"Njalo ubude besikhathi esimisiwe, dala umonakalo esitheni esingahleliwe. \n {1}% ithuba lokumangaza izitha zohlobo lwezokuvikela isekhondi elingu- {2} ."
每设定持续时间，对随机敌人造成伤害。 \n {1}% 几率使防御型敌人沉默{2}秒。,"Njalo ubude besikhathi esimisiwe, dala umonakalo esitheni esingahleliwe. \n {1}% ithuba lokuthulisa izitha zohlobo lwezokuvikela isekhondi elingu- {2} ."
每设定一段时间，对随机敌人造成伤害。\n威力大幅提升，与你的暴击伤害成正比。,"Njalo ubude besikhathi esimisiwe, bangela umonakalo esitheni esingahleliwe.\nAmandla anda kakhulu, ngokulingana ne-DMG yakho Ebucayi."
每设定一段时间，对后方敌人造成伤害。 \n {1}% 几率使攻击型敌人陷入睡眠状态{2}秒。,"Njalo ubude besikhathi esimisiwe, bangela umonakalo esitheni esingemuva. \n {1}% ithuba lokwenza izitha zohlobo lwe-Attack zilale isekhondi elingu- {2} ."
反抗是没有用的！,Akusizi ukumelana!
正义不是邪恶力量的对手。,Ubulungisa abunakuqhathaniswa namandla obubi.
是的，我喜欢从你身上感受到的东西。拿着它。,"Yebo, ngiyakuthanda engikuzwa kuwe. Thatha lokhu."
呵呵呵呵...,Ehhe ehhe...
你的贪婪是无止境的。我喜欢。,Ubugovu bakho abunamkhawulo. Ngiyakuthanda lokho.
振动,Iyadlidliza
推荐给新手,Inconyelwe abasanda kuhlanganyela
推荐龙,Ama-Dragons anconyiwe
本月推荐,Isincomo seNyanga
精选龙,Okufakiwe Dragon
培育支持计划,Ukukhuthaza Iphakheji Lokusekela
仅售5天！,Ithengiswa izinsuku ezi-5 kuphela!
再也不用担心翅膀和金币了！,Ungabe usazikhathaza ngamaphiko negolide!
通关测试之塔150F（所有属性）,Sula i-Tower of Tests 150F (Zonke Izibaluli)
通关所有属性即可获得绝对传奇龙蛋！,Win Absolute Legendary Iqanda lapho usula zonke izimfanelo!
解锁{1} F（所有属性）,Kuvuliwe {1} F (Zonke Izibaluli)
解锁，无论属性如何！,"Vula lapho amaphansi angu-400 esuliwe, kungakhathaliseki ukuthi yisiphi isici!"
先购买第{1}步的商品，然后再购买第{2}步的商品。,Thenga izinto zesinyathelo {1} kuqala ukuze uthenge izinto zesinyathelo {2} .
史莱姆蛋（所有属性）各 x {1},Amaqanda E-Slime (Zonke izici) ngayinye x {1}
10+5 传奇技能史莱姆\n黄玉 x30,10+5 Ikhono Lenganekwane Slime\nTopaz x30
先购买 1 级物品，再购买 2 级物品。,Thenga izinto zikaLeveli 1 kuqala ukuze uthenge izinto zikaLeveli 2.
先购买2级物品再购买3级物品。,Thenga izinto zikaLeveli 2 kuqala ukuze uthenge izinto zikaLeveli 3.
先购买3级物品再购买4级物品。,Thenga izinto zikaLeveli 3 kuqala ukuze uthenge izinto zikaLeveli 4.
"钻石\nx6,000","Amadayimane\nx6,000"
"钻石\nx9,000","Amadayimane\nx9,000"
神话龙蛋\nx1,Iqanda Lenganekwane \nx1
绝对传奇龙蛋\nx1,Iqanda Eliphelele Lenganekwane \nx1
绝对传奇龙蛋x1,Iqanda Eliyiqiniso Eliphelele x1
清除测试塔\n {1} F（所有属性）,Sula Umbhoshongo Wokuhlola \n {1} F (Zonke Izibaluli)
5★ 超级史莱姆 x5\n4★ 超级史莱姆 x4\n每属性史莱姆龙蛋x40,5★ I-Super Slime x5\n4★ I-Super Slime x4\ Iqanda -Slime ngesibaluli ngasinye x40
"15,000,000金币","15,000,000 Igolide"
受到攻击时，有{1}% 的几率获得{2}点法力。,"Uma uhlaselwa, {1}% ithuba lokuzuza i- {2} Mana."
购买该物品让龙立即{@yellow}达到 6★ Lv.60 {@default} ！\n您将{@yellow}还将获得{@default}属性史莱姆蛋，您可以用它来升级您的龙。,Thenga into ukuze {@yellow} ufike ku-6★ Lv.60 khona manjalo {@default} kudrako!\nUzothola {@yellow} futhi uthole {@default} Attribute Slime Eggs ongawasebenzisa ukuze ukhuphule amadragoni akho.
我可以祝福你。,ngingakubusisa.
"15,000 翅膀\n10,000,000金币\n符文祝福书 x6\n4★ 超级史莱姆 x8\n史莱姆龙蛋（全属性）各 x30\n黄玉 x9","15,000 Wings\n10,000,000 Igolide\nRune Blessing Book x6\n4★ Super Slime x8\nSlime Iqanda (Zonke izimfanelo) ngayinye x30\nTopaz x9"
"3,000 翅膀","3,000 Wings"
"30,000 翅膀\n20,000,000金币\n符文祝福书 x15\n4★ 超级史莱姆 x20\n史莱姆龙蛋（全属性）各 x50\n黄玉 x15","30,000 Wings\n20,000,000 Igolide\nRune Blessing Book x15\n4★ Super Slime x20\nSlime Iqanda (Zonke izimfanelo) ngayinye x50\nTopaz x15"
使用圣翼之光对敌人造成伤害，并\n有{1}% 几率降低目标防御力和暴击伤害，持续{2}秒。,"Konakalisa isitha Ukukhanya Okungcwele Kwamaphiko, kanye \n {1}% nethuba lokunciphisa i-DEF ne-DMG Ebucayi ngayinye isekhondi elingu- {2} ."
使用圣翼之光对敌人造成伤害，并\n有{1}% 几率降低目标防御力和暴击闪避，持续{2}秒。,"Yenza umonakalo esitheni Ukukhanya Okungcwele Kwamaphiko, kanye \n {1}% nethuba lokunciphisa i-DEF ne-Critical Evasion ngayinye isekhondi elingu- {2} ."
使用圣翼之光对敌人造成伤害，并\n有{1}% 几率降低目标的防御和闪避，持续{2}秒。,"Yenza umonakalo esitheni Ukukhanya Okungcwele Kwamaphiko, kanye \n {1}% nethuba lokunciphisa i-DEF ne-Evasion yethagethi ngayinye isekhondi elingu- {2} ."
你很幸运能见到我。,Unenhlanhla yokuthi uyangibona.
如果你需要我的祝福，我可以帮助你。,"Uma udinga isibusiso sami, ngingakusiza ngalokho."
我有东西给你。,Kukhona engikuphathele kona.
我会回来的。,Ngizobuya.
"5,000 颗钻石\n黄玉 x15","5,000 Amadayimane\nTopazi x15"
别再攻击我们了！,Yeka ukusihlasela!
在激活次元斩之前，有{1}% 的几率降低目标的防御力，持续{2}秒。此外，伤害也会增加{3}%。,"Ngaphambi kokuvula i-Dimension Slash, {1}% ithuba lokunciphisa i-DEF yethagethi isekhondi elingu- {2} . Futhi, umonakalo ukhuphuka ngo- {3}%."
次元斩的攻击力加成提升至{1}%。\n并且有100%概率对目标造成恢复速度降低效果，持续10秒。,"Ibhonasi ye-ATK ka-Dimension Slash ikhushulelwe ku- {1}%.\nFuthi, 100% wethuba lokubangela umphumela wokuncipha Wesilinganiso Sokubuyisela kokuhlosiwe kwamasekhondi angu-10."
次元斩的攻击力加成增加至{1}%。\n并且有 80% 的几率使目标沉默 5 秒。,"Ibhonasi ye-ATK ka-Dimension Slash ikhushulelwe ku- {1}%.\nFuthi, 80% amathuba okuthulisa ithagethi amasekhondi angu-5."
玛娜的祝福,Isibusiso sikaMana
荣誉+3,Hlonipha +3
荣誉+5,Hlonipha +5
我可以给你们所有人勇气和希望。,Nginganika isibindi nethemba kini nonke.
为大家祝福！,Isibusiso kini nonke!
祝福所有的龙。,Isibusiso kuwo wonke amadragons.
对不起，但我不能让你幸运。,Ngiyaxolisa kodwa ngeke ngikwazi ukunenza ube nenhlanhla.
光之翼,Amaphiko Ukukhanya
我很高兴看到世界和平。,Ngiyajabula ukubona umhlaba unokuthula.
它必须是一个数字。\n请重试。,Kufanele kube inombolo.\nSicela uzame futhi.
通关测试之塔50F（所有属性）,Sula i-Tower of Tests 50F (Zonke Izibaluli)
所有盟友 ACC UP {1}%。,Wonke ama-ally ACC UP ngo- {1}%.
如果盟友使用法力消耗为 3 的拖曳技能，法力恢复率将加倍，持续{1}秒，并\n增加所有盟友的攻击力，持续{2}秒。,"Uma umngane esebenzisa Ikhono Lokuhudula I-Mana Yayo Izindleko Zingu-3, ​​Isilinganiso Sokubuyisela I-mana siphindwe kabili ngamasekhondi angu- {1} , futhi\nyusa i-ATK yawo wonke ama-allies ngesekhondi elingu- {2} ."
如果盟友使用法力消耗为 3 的拖动技能，法力恢复率将加倍，持续{1}秒，并\n增加所有盟友的 ACC，持续{2}秒。,"Uma umngane esebenzisa Ikhono Lokuhudula I-Mana Cost yalo ingu-3, ​​I-mana Recovery Rate iphindwe kabili ngamasekhondi angu- {1} , futhi\nnyusa i-ACC yawo wonke ama-allies ngesekhondi elingu- {2} ."
如果盟友使用法力消耗为 3 的拖动技能，法力恢复率将加倍，持续{1}秒，并\n提高所有盟友的暴击率，持续{2}秒。,"Uma umlingani esebenzisa Ikhono Lokuhudula I-Mana Cost yalo ingu-3, ​​I-mana Recovery Rate iphindwe kabili ngamasekhondi angu- {1} , futhi\nnyusa Isilinganiso Esibucayi sawo wonke ama-alli amasekhondi {2} ."
这个地方很漂亮。,Yinhle le ndawo.
祝你好运！,Ngikufisela inhlanhla!
我听到有人歌颂我。,Ngizwa umuntu ecula indumiso yami.
你是怎么找到我的？,Ungithole kanjani?
我无能为力。,Angikwazi ukusiza.
从 3 条精心挑选的黑暗传奇龙中获得一条！,Thola eyodwa phakathi kwama-Dragons akhethwe ngokucophelela a Kumnyama Legendary!
1张英雄龙选择券,1 Ithikithi lokukhetha i-Hero Dragon
所以你是从游吟诗人的歌声中来看我的？,Pho uzele ukuzongibona engomeni ye-troubadour?
见此光。它会让你保持冷静。,Bona lokhu kukhanya. Izokugcina uzolile.
我不想用这个。,Ngangingafuni ukusebenzisa lokhu.
只要我在这里，这个地方就是安全的。,Le ndawo iphephile uma nje ngilapha.
让我们停止战斗吧。,Asiyiyeke impi.
现在你已经没有再战斗的意志了。,Manje awusenayo isifiso sokulwa.
每设定持续时间，减少法力消耗为 3 的盟友拖曳技能的冷却时间{1}秒。,"Ngaso sonke isikhathi esimisiwe, yehlisa ukupholiswa kwekhono lokuhudula lezakwethu okuthi i-Mana Cost yayo imizuzwana emi-3 ngo- {1} ."
每设定一段时间，我方法力消耗为 3 的拖拽技能的冷却时间减少 50%，持续{1}秒。,"Ngaso sonke isikhathi esimisiwe, yehlisa ukupholiswa kwekhono lokuhudula ama-allies okuthi i-Mana Cost yayo ingu-3 ngo-50% isekhondi elingu- {1} ."
每设定一段时间，对前方敌人造成伤害。 \n {1}% 几率降低目标防御力，持续{2}秒。,"Njalo ubude besikhathi, dala umonakalo esitheni esingaphambili. \n {1}% ithuba lokunciphisa i-DEF yethagethi isekhondi elingu- {2} ."
每设定一段时间，对后方敌人造成伤害。 \n {1}% 几率使目标昏迷{2}秒。,"Njalo ubude besikhathi esimisiwe, bangela umonakalo esitheni esingemuva. \n {1}% ithuba lokumangalisa ithagethi ngesekhondi elingu- {2} ."
将你的暴击率提高{1}%。,Khulisa Izinga lakho Elibalulekile ngo- {1}%.
祝福之歌,Ingoma Yesibusiso
我能听到祝福之歌。,Ngiyayizwa Ingoma Yesibusiso.
拥有祝福之力的幻想龙。它的名字因游吟诗人所唱的歌曲而闻名。由于其神秘的外观，人们相信它会带来好运。,"Udrako oyinganekwane onamandla esibusiso. Igama layo laziwa ezingomeni eziculwa ama-troubadour. Ngenxa yokubukeka kwayo okungaqondakali, kunenkolelo yokuthi iletha inhlanhla."
愿世界充满祝福与和平的光芒。,Kwangathi umhlaba ungagcwala ukukhanya kwesibusiso nokuthula.
幸运法力,Mana Wenhlanhla
收下这份幸运礼物吧。,Thatha lesi sipho senhlanhla.
力量祝福,Isibusiso Samandla
你很幸运能见到我。,Unenhlanhla yokuthi uyangibona.
洛鲁斯（土）,Umhlaba(Lorus)
Lorus（土）关系点,I-Lorus (Umhlaba) Iphuzu Lobudlelwano
洛鲁斯（火）,I-Lorus (Umlilo)
Lorus（火）关系点,I-Lorus (Umlilo) Iphuzu Lobudlelwano
洛鲁斯（光）,Ukukhanya(Lorus)
Lorus（光）关系点,I-Lorus (Ukukhanya) Iphoyinti Lobudlelwano
玛尔黛（光）,I-Maldek (Ukukhanya)
玛尔黛 （光）关系点,I-Maldek (Ukukhanya) Iphuzu Lobudlelwano
与 Lorus 的关系点可从关系地下城获得。随着您获得的积分越多，您与 Lorus 的距离就会越来越近。,Iphoyinti Lobudlelwano no-Lorus litholakala ku-Relationship Dungeon. Usondela ku-Lorus njengoba uthola amaphuzu engeziwe.
[之前] 目标：4,[Ngaphambi] Okuhlosiwe : 4
[之后]目标：5,[Ngemva] Okuhlosiwe : 5
[修改]攻击6名敌人时最终伤害提高100%,[Ngaphambi] Khulisa umonakalo wokugcina ngo-100% lapho uhlasela izitha eziyisi-6
[修改后]每个敌人伤害增加10%,[Ngemuva] Khulisa Ukulimala ngo-10% esitha ngasinye
[变更前]吸收造成伤害的10%生命值,[Ngaphambi] Thola i-HP 10% ye-DMG efakiwe
[修改后]暴击率提高20%,[Ngemva] Nyusa Izinga Elibalulekile ngo-20%
[修改前] 冷却时间 30 秒,[Ngaphambi] Ukuphola kwemizuzwana engu-30.
[之后]冷却时间15秒。,[Ngemva] Ukupholisa phansi isekhondi elingu-15.
通关古塔40层后即可进入{@subject}试炼之塔{@} {@condition}。,Ungangena kokuthi {@subject} Tower of Tests{@} {@condition} ngemva kokusula i-40F ye-Ancient Tower{@}.
购买该物品即可让龙立即达到6★Lv.60！,Thenga into ukuze ufinyelele ku-6★ Lv.60 khona manjalo kudrako!
您还将获得属性史莱姆蛋，您可以使用它来升级您的龙。,Uzothola namaqanda e-Attribute Slime ongawasebenzisa ukuze ukhuphule amadragoni akho.
您想跳过剧情战斗吗？,Ingabe ufuna ukweqa i-Scenario Battle?
要重播场景战斗，请进入“设置” →“游戏”→“重播场景”。,"Ukuze udlale kabusha Impi Yesimo, hamba kokuthi Izilungiselelo →Igeyimu→Dlala kabusha Isimo."
你可知道？只需触摸即可触发拖动技能。,Uthi bewazi? Ungacupha Amakhono Okuhudula ngokuwuthinta nje.
它会自动瞄准目标。它使您可以更轻松地使用所需的技能。,Iphokophele ekuqondisweni. Kwenza kube lula ukusebenzisa amakhono owafunayo.
您想跳过教程吗？,Ingabe ufuna ukweqa okokufundisa?
您只能更改一次昵称。\n之后，您需要一张昵称更改票。,"Ungakwazi ukushintsha isiteketiso sakho kanye kuphela.\nNgemva kwalokho, udinga Ithikithi Lokushintsha Isiteketiso."
战斗中， {@yellow}默认攻击{@default}会每隔一定时间自动激活， \n {@yellow}被动技能{@default}会在一定条件下触发。,"Phakathi nempi, {@yellow} ukuhlasela okuzenzakalelayo {@default} kwenziwa kusebenze ngokuzenzakalela ngesikhathi esithile ngenkathi \n {@yellow} amakhono okungenzi lutho {@default} eqalwa ngaphansi kwezimo ezithile."
{@yellow}点击战斗中掉落的物品{@default}将其捡起。\n尝试一下。,{@yellow} Thepha izinto eziwisiwe phakathi nempi {@default} ukuze uzilande.\nIzame.
现在，让我向您展示如何使用{@yellow}拖动技能{@default}。\n要使用拖动技能，您需要{@yellow}法力{@default}。,"Manje, ake ngikubonise indlela yokusebenzisa {@yellow} Ikhono Lokuhudula {@default}.\nUkuze usebenzise Ikhono Lokuhudula, udinga i -{@yellow} Mana {@default}."
按住底部的{@yellow}龙图标{@default} ， \n {@yellow}将手指{@default}移动到你想要攻击的方向。,"Ngenkathi ubambe phansi {@yellow} isithonjana sikadrako {@default} ezansi, \n {@yellow} hambisa umunwe wakho {@default} uye lapho ufuna ukuhlasela ngakhona."
